Dias,recuperados
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,54
34,58
35,63
36,68
37,71
38,100
39,100
40,140
41,140
42,339
43,368
44,411
45,501
46,597
47,696
48,780
49,838
50,922
51,1008
52,1061
53,1150
54,1207
55,1264
56,1330
57,1368
58,1559
59,1645
60,1722
61,1808
62,1915
63,2134
64,3434
65,3434
66,3434
67,3434
68,3434
69,3434
70,3434
71,3434
72,3434
73,3434
74,3434
75,3538
76,3538
77,3538
78,3538
79,3562
